Value of heaven,average donations,average time,average praying
0,1.11674309810452e-13,1.72774296198237e-13,7.76260566486825e-14
6,0.00209538420566192,0.00382280686028789,0.00461210465664649
12,0.00722044354942536,0.0121484684193012,0.00993443032558033
18,0.012979769411439,0.0211717787664018,0.0145553971784299
24,0.0190019026212671,0.0303006108430786,0.0184778062598126
30,0.0244626884915331,0.0384752070328533,0.0218988210905693
