ID,time,rel,educ,crime,age,savings,donations,voluntary,consume,pray,leisure,employed
1,1,5,2,2,2,0.0181818179609729,3.50471553366363e-17,4.92217353521223e-17,0.54226227415153,4.92217353519801e-17,0.490045484552885,1
1623,1,1,2,1,3,0.0181818179609729,3.50471553366363e-17,4.92217353521223e-17,0.54226227415153,4.92217353519801e-17,0.490045484552885,1
1414,1,2,2,1,1,0.0296950467099352,6.56582395201876e-18,9.22132611992786e-18,0.544053657729685,9.22132611990122e-18,0.491720055762987,1
4,1,2,1,1,2,0.0181818179609729,3.50471553366363e-17,4.92217353521223e-17,0.54226227415153,4.92217353519801e-17,0.490045484552885,1
5,1,5,3,2,2,0.0416809707715786,0,0,0.548287069720881,0,0.495642808146552,1
6,1,2,3,1,2,0.0181818179609729,3.50471553366363e-17,4.92217353521223e-17,0.54226227415153,4.92217353519801e-17,0.490045484552885,1
1270,1,2,2,2,3,0.0186680681926516,3.38442734790569e-17,4.75323562317647e-17,0.542337931527831,4.75323562316274e-17,0.49011620847027,1
8,1,1,2,1,3,0,0,0,0.456577197341347,0,0.465856640576628,0
1624,1,2,3,2,3,0.0323492003084098,4.25699876394492e-25,5.97871252432778e-25,0.544466626782405,5.97871252431051e-25,0.49210609596944,1
1130,1,4,2,1,3,0,0,0,0.458039509818594,0,0.467532821834223,0
1415,1,1,3,1,1,0,0,0,0.456577197341347,0,0.465856640576628,0
1204,1,5,3,2,3,0,0,0,0.458172056418158,0,0.467684753879804,0
13,1,2,2,2,2,0.0207594028095491,2.86707469593701e-17,4.02664326284583e-17,0.542663329604324,4.0266432628342e-17,0.490420388020291,1
1271,1,3,2,1,2,0,0,0,0.458039509818594,0,0.467532821834223,0
1272,1,2,2,1,2,0.0181818179609729,3.50471553366363e-17,4.92217353521223e-17,0.54226227415153,4.92217353519801e-17,0.490045484552885,1
1489,1,2,3,2,3,0,0,0,0.456577197341347,0,0.465856640576628,0
1131,1,1,1,2,2,0.0186680681926516,3.38442734790569e-17,4.75323562317647e-17,0.542337931527831,4.75323562316274e-17,0.49011620847027,1
18,1,3,3,2,3,0.0186680681926516,3.38442734790569e-17,4.75323562317647e-17,0.542337931527831,4.75323562316274e-17,0.49011620847027,1
1625,1,3,1,2,3,0.0181818179609729,3.50471553366363e-17,4.92217353521223e-17,0.54226227415153,4.92217353519801e-17,0.490045484552885,1
20,1,3,2,1,2,0.0181818179609729,3.50471553366363e-17,4.92217353521223e-17,0.54226227415153,4.92217353519801e-17,0.490045484552885,1
21,1,2,2,2,2,0.0203826648134535,2.96027183416759e-17,4.1575333402144e-17,0.542604711620248,4.15753334020239e-17,0.490365592392082,1
1273,1,1,2,2,2,0.0203826648134535,2.96027183416759e-17,4.1575333402144e-17,0.542604711620248,4.15753334020239e-17,0.490365592392082,1
1491,1,1,3,2,3,0.0181818179609729,3.50471553366363e-17,4.92217353521223e-17,0.54226227415153,4.92217353519801e-17,0.490045484552885,1
1001,1,1,3,1,3,9.78784021276381e-19,0,0,0.598330286253,0,0.512063771091696,1
1132,1,1,3,2,2,1.01357163586088e-18,0,0,0.598007977738243,0,0.511804716541727,1
1416,1,2,3,1,2,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
27,1,1,2,1,2,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
1626,1,1,3,1,3,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
29,1,2,1,2,3,0,0,0,0.495277531945869,0,0.48014802551634,0
30,1,2,2,2,2,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
31,1,2,2,2,2,0,0,0,0.514096023868623,0,0.499174154985734,0
1417,1,3,1,2,1,0,0,0,0.504683362831868,0,0.489836554166697,0
1274,1,5,3,2,3,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
34,1,1,2,2,2,0,0,0,0.514096023868623,0,0.499174154985734,0
35,1,5,2,1,3,0.0064297566176852,0,0,0.611952784808132,0,0.522923764204023,1
1275,1,5,1,1,3,0,0,0,0.514096023868623,0,0.499174154985734,0
37,1,1,3,2,2,0,0,0,0.495277531945869,0,0.48014802551634,0
38,1,5,1,1,3,0.00766499622702049,0,0,0.612827672820663,0,0.523609845046752,1
1418,1,1,2,1,1,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
1558,1,4,3,1,2,0,0,0,0.504683362831868,0,0.489836554166697,0
1627,1,3,2,2,3,0,0,0,0.504683362831868,0,0.489836554166697,0
1207,1,2,1,1,3,0,0,0,0.504683362831868,0,0.489836554166697,0
43,1,2,3,2,3,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
44,1,1,2,2,2,0.00766499622702049,0,0,0.612827672820663,0,0.523609845046752,1
45,1,4,2,2,2,0.0211004995171486,5.67282057496482e-30,8.87991667252313e-30,0.619163481728584,0,0.528477099930461,1
46,1,5,3,1,3,0.00188082971929084,0,0,0.608730898476757,0,0.520397184278657,1
47,1,4,2,2,2,0,0,0,0.506993033019827,0,0.49212780615011,0
48,1,5,2,2,2,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
49,1,2,1,1,2,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
1208,1,2,2,1,3,0.00197279358494341,0,0,0.608796034085296,0,0.520448263151105,1
1276,1,3,1,2,2,0.00188082971929084,0,0,0.608730898476757,0,0.520397184278657,1
52,1,2,2,1,3,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
1493,1,4,3,1,3,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
1209,1,3,2,2,3,8.56117290185216e-19,0,0,0.599466797979379,0,0.512977239152054,1
55,1,3,2,1,1,1.01357163586088e-18,0,0,0.598007977738243,0,0.511804716541727,1
1559,1,4,3,2,2,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
1495,1,1,2,1,3,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
1560,1,2,2,1,2,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
59,1,4,3,1,3,0,0,0,0.504683362831868,0,0.489836554166697,0
60,1,1,1,2,1,0,0,0,0.504683362831868,0,0.489836554166697,0
61,1,1,3,1,3,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
1003,1,5,2,1,3,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
63,1,4,2,1,2,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
1135,1,2,3,1,3,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
1561,1,4,3,1,2,0.0064297566176852,0,0,0.611952784808132,0,0.522923764204023,1
1496,1,3,2,2,3,0,0,0,0.510750338287455,0,0.49585514920337,0
67,1,5,2,1,2,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
1210,1,5,3,1,3,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
69,1,3,2,1,3,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
1419,1,2,1,1,1,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
1277,1,2,2,1,2,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
1004,1,2,2,2,2,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
73,1,2,2,2,3,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
1278,1,1,2,2,2,0,0,0,0.514096023868623,0,0.499174154985734,0
75,1,2,3,1,2,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
1211,1,2,2,1,3,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
1136,1,4,3,2,2,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
78,1,2,2,1,1,0.00766499622702049,0,0,0.612827672820663,0,0.523609845046752,1
79,1,3,2,2,3,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
80,1,3,2,2,1,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
81,1,5,2,1,2,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
82,1,1,2,2,3,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
1067,1,5,2,1,3,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
1420,1,5,2,1,1,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
1005,1,3,1,2,2,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
86,1,5,3,2,2,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
1279,1,3,2,2,2,0,0,0,0.514466139247516,0,0.499533933790376,0
1280,1,5,3,2,2,0,0,0,0.514096023868623,0,0.499174154985734,0
1628,1,3,3,2,3,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
1497,1,2,1,2,3,0.0064297566176852,0,0,0.611952784808132,0,0.522923764204023,1
1006,1,5,3,2,2,0.0064297566176852,0,0,0.611952784808132,0,0.522923764204023,1
92,1,1,2,2,2,0.0064297566176852,0,0,0.611952784808132,0,0.522923764204023,1
93,1,3,3,2,2,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
94,1,3,2,1,2,0,0,0,0.514100672802385,0,0.499178766847089,0
1137,1,3,2,2,2,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
96,1,5,2,1,3,0,0,0,0.512579142286903,0,0.497669369608044,0
1282,1,2,1,2,2,0.00766499622702049,0,0,0.612827672820663,0,0.523609845046752,1
1629,1,3,3,1,3,0,0,0,0.510750338287455,0,0.49585514920337,0
99,1,1,1,2,2,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
100,1,4,2,2,3,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
101,1,2,2,2,2,0.00766499622702049,0,0,0.612827672820663,0,0.523609845046752,1
102,1,2,3,1,3,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
103,1,5,3,2,3,0,0,0,0.495277531945869,0,0.48014802551634,0
104,1,4,2,1,3,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
105,1,2,3,2,2,0,0,0,0.504683362831868,0,0.489836554166697,0
1630,1,1,2,2,3,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
107,1,2,3,1,2,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
1138,1,1,3,1,3,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
109,1,2,2,1,2,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
110,1,1,3,1,3,0,0,0,0.495277531945869,0,0.48014802551634,0
1631,1,3,3,2,3,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
112,1,2,2,2,3,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
1632,1,2,2,2,3,0,0,0,0.495277531945869,0,0.48014802551634,0
1139,1,1,2,2,2,1.23113364254102e-26,0,0,0.607398755705846,0,0.519352527564013,1
115,1,4,2,1,3,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
116,1,1,2,1,3,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
1633,1,5,2,1,3,0,0,0,0.495277531945869,0,0.48014802551634,0
118,1,1,2,2,2,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
119,1,3,1,2,1,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
120,1,1,2,1,2,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
1353,1,5,1,1,3,0,0,0,0.495277531945869,0,0.48014802551634,0
122,1,1,3,2,2,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
123,1,5,3,1,1,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
124,1,3,3,1,2,1.01357163586088e-18,0,0,0.598007977738244,0,0.511804716541727,1
1498,1,1,3,2,3,0.00494050975421748,0,0,0.61089799007948,0,0.522096601817553,1
