ID,time,rel,educ,crime,age,savings,donations,voluntary,consume,pray,leisure,employed
16152,1,2,2,1,2,0.127272727272922,0,0,0.678385855594208,0,0.547391475824706,1
2,1,1,2,1,2,0,0,0,0.638344785474708,0,0.518994151570104,1
3,1,1,3,1,2,0,0,0,0.528684965050179,0,0.48780365954185,0
15456,1,1,1,2,2,0.0363632633750572,2.92114919937488e-29,4.74031212526415e-29,0.588050085308485,0,0.539501395405443,0
16153,1,5,3,1,3,0.127272727272922,0,0,0.678385855594208,0,0.547391475824706,1
11395,1,1,2,2,3,0.00011079828207093,0,0,0.639521466242794,0,0.519868552459909,1
15457,1,4,3,1,3,0.016745172928125,2.40527546527316e-24,3.90317497479235e-24,0.577422993591916,0,0.531035881092292,0
11396,1,2,3,1,3,0,0,0,0.528684965050179,0,0.48780365954185,0
13422,1,2,1,1,1,0.0118414519224435,7.0674795024181e-28,1.45654890474606e-27,0.647720859993649,1.52140317521087e-44,0.525956795303897,1
10,1,2,1,2,3,0,0,0,0.638344785474708,0,0.518994151570104,1
11,1,1,2,2,2,0,0,0,0.528684965050179,0,0.48780365954185,0
12033,1,4,2,2,3,0,0,0,0.638344785474708,0,0.518994151570104,1
12747,1,1,3,1,3,4.70237948384481e-20,0,0,0.638344785474708,0,0.518994151570104,1
14106,1,4,2,2,2,0.0179896977985246,1.10184624276236e-27,2.27081371448615e-27,0.647954404946919,2.37192392529651e-44,0.526127665392041,1
12034,1,2,3,1,2,0,0,0,0.540507544271377,0,0.498977584039832,0
15458,1,1,3,1,2,0.10557530049011,0,0,0.671940658774442,0,0.543042105860446,1
17,1,5,2,1,2,0.00144241495331067,3.84855168302704e-29,7.93154580335709e-29,0.647325846090178,8.28470566984617e-46,0.525667788585667,1
18,1,5,2,2,2,0,0,0,0.528684965050179,0,0.48780365954185,0
13423,1,4,3,1,3,0,0,0,0.555119683927679,0,0.512167423556317,0
14107,1,1,3,2,2,0.0264115065799093,8.7811169231858e-29,1.80971536352349e-28,0.652514324993718,1.89029471741119e-45,0.529437405650968,1
21,1,1,1,1,3,0.00166974947364368,5.30944772760425e-29,1.09423313782551e-28,0.647334481533685,1.1429549429368e-45,0.525674106594138,1
22,1,3,3,1,3,0,0,0,0.528684965050179,0,0.48780365954185,0
13424,1,3,1,2,2,0,0,0,0.528684965050179,0,0.48780365954185,0
24,1,5,3,2,2,0,0,0,0.528684965050179,0,0.48780365954185,0
12748,1,1,1,1,2,0.0209941822980326,7.63441963321218e-28,1.57339056325843e-27,0.649517491218973,1.64344732331904e-44,0.527262232805555,1
